Descri??o do Alimento,GRUPO,Medida Caseira,Gramas
Abobrinha cozido(a),VERDURAS,Colher de Arroz,70
Abobrinha cozido(a),VERDURAS,Colher de Sopa,30
Abobrinha cozido(a),VERDURAS,Concha,90
Abobrinha cozido(a),VERDURAS,Escumadeira,90
Abobrinha cozido(a),VERDURAS,Pegador,30
Abobrinha cozido(a),VERDURAS,Unidade,335
Abobrinha cru(a),VERDURAS,Fatia,61
Abobrinha cru(a),VERDURAS,Pedaço,17
Abobrinha cru(a),VERDURAS,Porção,57
Abobrinha cru(a),VERDURAS,Colher de Arroz,70
Abobrinha cru(a),VERDURAS,Colher de Sopa,30
Abobrinha cru(a),VERDURAS,Concha,90
Abobrinha cru(a),VERDURAS,Escumadeira,90
Abobrinha cru(a),VERDURAS,Pegador,30
Abobrinha cru(a),VERDURAS,Unidade,335
Abobrinha empanado(a)/a milanesa,VERDURAS,Fatia,61
Abobrinha empanado(a)/a milanesa,VERDURAS,Porção,57
Abobrinha empanado(a)/a milanesa,VERDURAS,Concha,90
Abobrinha ensopado,VERDURAS,Fatia,61
Abobrinha ensopado,VERDURAS,Pedaço,17
Abobrinha ensopado,VERDURAS,Porção,57
Abobrinha ensopado,VERDURAS,Colher de Arroz,70
Abobrinha ensopado,VERDURAS,Colher de Sopa,30
Abobrinha ensopado,VERDURAS,Concha,90
Abobrinha ensopado,VERDURAS,Escumadeira,90
Abobrinha ensopado,VERDURAS,Pegador,30
Abobrinha ensopado,VERDURAS,Unidade,335
Abobrinha frito(a),VERDURAS,Porção,57
Abobrinha frito(a),VERDURAS,Colher de Arroz,70
Abobrinha frito(a),VERDURAS,Colher de Sopa,30
Abobrinha grelhado(a)/brasa/churrasco,VERDURAS,Porção,57
Abobrinha grelhado(a)/brasa/churrasco,VERDURAS,Unidade,335
Abobrinha refogado(a),VERDURAS,Fatia,61
Abobrinha refogado(a),VERDURAS,Pedaço,17
Abobrinha refogado(a),VERDURAS,Porção,57
Abobrinha refogado(a),VERDURAS,Colher de Arroz,70
Abobrinha refogado(a),VERDURAS,Colher de Sopa,30
Abobrinha refogado(a),VERDURAS,Concha,90
Abobrinha refogado(a),VERDURAS,Escumadeira,90
Abobrinha refogado(a),VERDURAS,Pegador,30
Abobrinha refogado(a),VERDURAS,Unidade,335
"Abobrinha, italiana, cozida",,Fatia,61
"Abobrinha, italiana, cozida",,Pedaço,17
"Abobrinha, italiana, cozida",,Porção,57
"Abobrinha, italiana, cozida",,Colher de Arroz,70
"Abobrinha, italiana, cozida",,Colher de Sopa,30
"Abobrinha, italiana, cozida",,Concha,90
"Abobrinha, italiana, cozida",,Escumadeira,90
"Abobrinha, italiana, cozida",,Pegador,30
"Abobrinha, italiana, cozida",,Unidade,335
"Abobrinha, italiana, crua",,Fatia,61
"Abobrinha, italiana, crua",,Pedaço,17
"Abobrinha, italiana, crua",,Porção,57
"Abobrinha, italiana, crua",,Colher de Arroz,70
"Abobrinha, italiana, crua",,Colher de Sopa,30
"Abobrinha, italiana, crua",,Concha,90
"Abobrinha, italiana, crua",,Escumadeira,90
"Abobrinha, italiana, crua",,Pegador,30
"Abobrinha, italiana, crua",,Unidade,335
"Abobrinha, italiana, refogada",,Fatia,61
"Abobrinha, italiana, refogada",,Pedaço,17
"Abobrinha, italiana, refogada",,Porção,57
"Abobrinha, italiana, refogada",,Colher de Arroz,70
"Abobrinha, italiana, refogada",,Colher de Sopa,30
"Abobrinha, italiana, refogada",,Concha,90
"Abobrinha, italiana, refogada",,Escumadeira,90
"Abobrinha, italiana, refogada",,Pegador,30
"Abobrinha, italiana, refogada",,Unidade,335
"Abobrinha, paulista, crua",,Fatia,61
"Abobrinha, paulista, crua",,Pedaço,17
"Abobrinha, paulista, crua",,Porção,57
"Abobrinha, paulista, crua",,Colher de Arroz,70
"Abobrinha, paulista, crua",,Colher de Sopa,30
"Abobrinha, paulista, crua",,Concha,90
"Abobrinha, paulista, crua",,Escumadeira,90
"Abobrinha, paulista, crua",,Pegador,30
"Abobrinha, paulista, crua",,Unidade,335
Abobrinha-italiana (cozida),,Fatia,61
Abobrinha-italiana (cozida),,Pedaço,17
Abobrinha-italiana (cozida),,Porção,57
Abobrinha-italiana (cozida),,Colher de Arroz,70
Abobrinha-italiana (cozida),,Colher de Sopa,30
Abobrinha-italiana (cozida),,Concha,90
Abobrinha-italiana (cozida),,Escumadeira,90
Abobrinha-italiana (cozida),,Pegador,30
Abobrinha-italiana (cozida),,Unidade,335
Abobrinha-italiana (crua),,Fatia,61
Abobrinha-italiana (crua),,Pedaço,17
Abobrinha-italiana (crua),,Porção,57
Abobrinha-italiana (crua),,Colher de Arroz,70
Abobrinha-italiana (crua),,Colher de Sopa,30
Abobrinha-italiana (crua),,Concha,90
Abobrinha-italiana (crua),,Escumadeira,90
Abobrinha-italiana (crua),,Pegador,30
Abobrinha-italiana (crua),,Unidade,335
